挨拶	あいさつ	인사
間	あいだ	"사이, 동안"
秋	あき	가을
開く	あく	열리다
空く	あく	비다
開ける	あける	열다
浅い	あさい	얕다
味	あじ	맛
頭	あたま	머리
暑い	あつい	덥다
暑さ	あつさ	더위
集まる	あつまる	모이다
姉	あね	"언니, 누나"
謝る	あやまる	사과하다
歩く	あるく	걷다
アルバイト		아르바이트
安心	あんしん	안심
安全な	あんぜんな	안전한
案内	あんない	안내
以下	いか	이하
以外	いがい	이외
医学	いがく	의학
行き方	いきかた	가는 방법
いくら ～でも		아무리 ~해도
池	いけ	연못
意見	いけん	의견
石	いし	돌
以上	いじょう	이상
急ぐ	いそぐ	서두르다
致す	いたす	하다(する의 겸양어)
いただく		받다(もらう의 겸양어)
一軒	いっけん	(집) 한 채
一生懸命	いっしょうけんめい	열심히
行って参ります	いってまいります	다녀오겠습니다
糸	いと	실
以内	いない	이내
祈る	いのる	"기원하다, 빌다"
意味	いみ	의미
妹	いもうと	여동생
色	いろ	색
植える	うえる	심다
受ける	うける	"받다, (시험을) 치다"
動き出す	うごきだす	움직이기 시작하다
動く	うごく	움직이다
歌	うた	노래
歌う	うたう	노래부르다
内	うち	"중, 범위, 내"
打つ	うつ	"치다, 부딪치다"
写す	うつす	"베끼다, (사진을) 찍다"
腕	うで	팔
うまい		"솜씨가 뛰어나다, 맛있다"
生む	うむ	낳다
嬉しい	うれしい	기쁘다
運転	うんてん	운전
運動	うんどう	운동
映画館	えいがかん	영화관
営業	えいぎょう	영업
駅員	えきいん	역무원
エスカレーター		에스컬레이터
お医者さん	おいしゃさん	의사 선생님
お祝い	おいわい	축하 선물
お帰りなさい	おかえりなさい	다녀오셨어요
おかげさまで		덕분에요
屋上	おくじょう	옥상
送る	おくる	보내다
遅れる	おくれる	늦다
行う	おこなう	행하다
お正月	おしょうがつ	"양력설, 정월"
お大事に	おだいじに	몸조리 잘하세요
お茶	おちゃ	차
おつり		거스름돈
音	おと	소리
弟	おとうと	남동생
落とす	おとす	떨어뜨리다
驚く	おどろく	놀라다
お兄さん	おにいさん	"오빠, 형"
お姉さん	おねえさん	"언니, 누나"
お見舞い	おみまい	병문안
お土産	おみやげ	"기념품, 여행지에서 사 온 선물"
思い出す	おもいだす	생각해 내다
思い出	おもいで	추억
思う	おもう	생각하다
おもちゃ		장난감
おや		"이런, 아니"
親指	おやゆび	엄지 손가락
お礼	おれい	"사례, 감사 인사"
折れる	おれる	부러지다
終わる	おわる	끝나다
音楽	おんがく	음악
会場	かいじょう	회장
会話	かいわ	회화
帰り	かえり	귀갓길
顔	かお	얼굴
鏡	かがみ	거울
書き方	かきかた	쓰는 법
飾る	かざる	장식하다
火事	かじ	화재
かしこまりました		"알겠습니다, 분부대로 하겠습니다"
貸す	かす	빌려주다
数える	かぞえる	"세다, 계산하다"
ガソリンスタンド		주유소 (Gasoline Stand)
方	かた	분
堅い・硬い・固い	かたい	"딱딱하다, 단단하다"
片付ける	かたづける	정리하다
カッター		커터칼
悲しい	かなしい	슬프다
必ず	かならず	반드시
壁	かべ	벽
構いません	かまいません	상관없습니다
紙	かみ	종이
嚙む	かむ	씹다
通う	かよう	다니다
体	からだ	몸조리 잘하세요
乾く	かわく	마르다
代わり	かわり	대신
考え方	かんがえかた	사고방식
考える	かんがえる	생각하다
関係	かんけい	관계
漢字	かんじ	한자
機械	きかい	기계
機会	きかい	기회
危険な	きけんな	위험한
帰国	きこく	귀국
技術	ぎじゅつ	기술
季節	きせつ	계절
規則	きそく	규칙
北区	きたく	기타구(지명)
厳しい	きびしい	"엄하다, 엄격하다"
気分	きぶん	기분
決まる	きまる	결정되다
着物	きもの	"옷, 일본 옷(기모노)"
急行	きゅうこう	급행
急に	きゅうに	"갑자기, 급히"
牛肉	ぎゅうにく	소고기
競争	きょうそう	경쟁
興味	きょうみ	흥미
銀色	ぎんいろ	은색
近所	きんじょ	근처
具合	ぐあい	상태
空港	くうこう	공항
薬	くすり	약
くださる		주시다
首	くび	목
雲	くも	구름
比べる	くらべる	비교하다
計画	けいかく	계획
経験	けいけん	경험
ゲーム		게임
怪我	けが	상처
景色	けしき	경치
結果	けっか	결과
県	けん	현(일본 행정구역)
原因	げんいん	원인
けんか		싸움
見学	けんがく	견학
元気	げんき	건강함
研究	けんきゅう	연구
研究会	けんきゅうかい	연구회
郊外	こうがい	교외
工業	こうぎょう	공업
工事	こうじ	공사
工場	こうじょう	공장
校長	こうちょう	교장(선생님)
交通	こうつう	교통
声	こえ	(목)소리
氷	こおり	얼음
心	こころ	마음
故障	こしょう	고장
答える	こたえる	대답하다
小鳥	ことり	작은 새
細かい	こまかい	"잘다, 미세하다"
込む	こむ	붐비다
怖い	こわい	무섭다
壊れる	こわれる	망가지다
今度	こんど	"이번, 다음"
最近	さいきん	최근
最後	さいご	"최후, 마지막"
坂	さか	언덕
探す	さがす	찾다
盛んな	さかんな	"성행하다, 번창하다"
作文	さくぶん	작문
差し上げる	さしあげる	드리다
誘う	さそう	권하다
さっき		조금 전
寂しい	さびしい	쓸쓸하다
お皿	おさら	접시
触る	さわる	만지다
産業	さんぎょう	산업
サンダル		샌들
残念な	ざんねんな	"유감인, 아쉬운"
𠮟る	しかる	야단치다
時代	じだい	시대
支度	したく	"준비, 채비"
しっかり		"견실함, 야무짐, 확실히"
失敗	しっぱい	실패
質問	しつもん	질문
失礼な	しつれいな	무례한
自転車	じてんしゃ	자전거
品物	しなもの	물건
死ぬ	しぬ	죽다
暫く	しばらく	잠시
自分	じぶん	"자기, 자신"
市民	しみん	시민
社会	しゃかい	사회
写真家	しゃしんか	사진가
社長	しゃちょう	사장
邪魔	じゃま	방해
邪魔になる	じゃまになる	방해가 되다
習慣	しゅうかん	습관
住所	じゅうしょ	주소
十分	じゅうぶん	충분히
主人	しゅじん	"남편, 주인"
出席	しゅっせき	"출석, 참석"
出発	しゅっぱつ	출발
準備	じゅんび	준비
紹介	しょうかい	소개
小説	しょうせつ	소설
招待	しょうたい	초대
将来	しょうらい	장래
食事	しょくじ	식사
食料品	しょくりょうひん	식료품
女性	じょせい	여성
調べる	しらべる	조사하다
人口	じんこう	인구
親切な	しんせつな	친절한
心配	しんぱい	걱정
新聞社	しんぶんしゃ	신문사
水道	すいどう	수도
すっかり		"죄다, 모두"
ずっと		"쭉, 줄곧"
捨てる	すてる	버리다
滑る	すべる	미끄러지다
隅	すみ	구석
すると		"그러자, 그랬더니"
～制	～せい	~제
生産	せいさん	생산
西洋	せいよう	서양
世界	せかい	세계
席	せき	자리
説明	せつめい	설명
ぜひ		"꼭, 부디"
世話	せわ	"도와줌, 보살핌"
洗濯	せんたく	"빨래, 세탁"
センチ		센티미터
相談	そうだん	"상담, 의논"
育てる	そだてる	"키우다, 기르다"
それに		게다가
それほどでもない		그렇지도 않다
そろそろ		슬슬
大使	たいし	대사
大使館	たいしかん	대사관
大事な	だいじな	"소중한, 중요한"
台風	たいふう	태풍
倒れる	たおれる	쓰러지다
だから		"그러니까, 그래서"
確かな	たしかな	"확실한, 분명한"
足す	たす	더하다
正しい	ただしい	"바르다, 옳다"
建てる	たてる	세우다
頼む	たのむ	부탁하다
たまに		이따금
だめ		"안 됨, 불가능함"
足りない	たりない	"모자라다, 부족하다"
足りる	たりる	충분하다
暖房	だんぼう	난방
チェック		체크
地下鉄	ちかてつ	지하철
力	ちから	힘
チケット		티켓
遅刻	ちこく	지각
茶色	ちゃいろ	갈색
チャンス		"찬스, 기회"
中止	ちゅうし	중지
注意	ちゅうい	주의
貯金	ちょきん	저금
地理	ちり	지리
着く	つく	도착하다
机	つくえ	책상
作る	つくる	만들다
都合	つごう	"사정, 형편"
都合が悪い	つごうがわるい	형편이 좋지 않다
伝える	つたえる	전하다
包む	つつむ	"싸다, 포장하다"
丁寧な	ていねいな	정중한
適当	てきとう	적당함
出口	でぐち	출구
店員	てんいん	점원
電話代	でんわだい	전화 요금
～度	～ど	~번
とうとう		드디어
遠く	とおく	멀리
通り	とおり	길
通る	とおる	지나다
都会	とかい	도시
特に	とくに	특히
特別な	とくべつな	특별한
閉じる	とじる	"닫다, 덮다"
途中	とちゅう	도중
特急	とっきゅう	특급
止める	とめる	"멈추다, 세우다"
鳥	とり	새
取り替える	とりかえる	바꾸다
どんどん		"점차, 계속"
直す	なおす	"고치다, 수리하다"
直る	なおる	"복구되다, 고쳐지다"
治す	なおす	"치료하다, 고치다"
治る	なおる	"낫다, 회복되다"
夏	なつ	여름
鳴る	なる	울리다
なるべく		"가급적, 되도록"
慣れる	なれる	익숙해지다
何度も	なんども	몇 번이고
何枚	なんまい	"몇 장, 몇 매"
似合う	にあう	어울리다
におい		냄새
苦い	にがい	쓰다
逃げる	にげる	"도망가다, 달아나다"
二軒	にけん	두 채
二代	にだい	두 대
日記	にっき	일기
荷物	にもつ	"짐, 수하물"
似る	にる	닮다
人気	にんき	인기
熱	ねつ	열
熱心な	ねっしんな	열심인
寝坊	ねぼう	늦잠
眠い	ねむい	졸리다
眠る	ねむる	자다
寝る	ねる	자다
喉	のど	"목, 목구멍"
乗り換える	のりかえり	"갈아타다, 환승하다"
パートタイム		파트타임
売店	ばいてん	매점
履きやすい	はきやすい	신기 편하다
運ぶ	はこぶ	"운반하다, 옮기다"
はさみ		가위
始まる	はじまる	시작되다
始める	はじめる	시작하다
